run_id,VolAgriExGB,VolAgriExViaChe,A_Ex_LB,VolAgriImGB,VolAgriImViaChe,A_Im_LB,DocChkTimeAPImIR,PhyChkTimeAPImIR,VolAllPExGB,VolAllPExViaChe,NA_Ex_LB,VolAllPImGB,VolAllPImViaChe,NA_Im_LB,NumCustomOfficerD,NumCustomOfficerR,NumDAFMOfficerD,NumDAFMOfficerR,PerPhyChkAgriImIR,Pct_A_OB_Red,PerSecurityChkAPIR,PerGreenTrucksAPImIR,PerPhyChkAPImIR,Pct_NA_OB_Green,Pct_NA_OB_Red,PerSecurityChkAgriIR,VolAgriExEULB,VolAgriImEULB,VolAllPExEULB,VolAllPImEULB,DToHeyVesselCap,DToHolyVesselCap,DToLivVesselCap,RToFishVesselCap,RToPemVesselCap,n_replications,seed
cand_20260906_090349_010,1866157,148046,380103,2477064,354553,316509,40,38,6233794,753537,682844,5921300,325847,877658,4,2,36,16,0.2204066672660164,0.378238137551208,0.1273642556059252,0.7659311407233825,0.3774105001659666,0.7407980802571204,0.2015369449891978,0.156908175022365,11484,192697,437075,91826,98,149,101,55,91,5,42
cand_20260906_090349_014,1696059,124933,382200,3213312,239292,536524,19,40,5469535,339081,616031,6151139,579251,709453,4,2,38,11,0.3558343388895738,0.1021943368879046,0.2190425680826743,0.6864684736463715,0.1146095416941553,0.6133947266922837,0.3556046550643508,0.2818129628845897,141122,198566,57432,181776,43,125,45,19,33,5,42
cand_20260906_090349_004,2323431,226762,325739,3398511,341809,357062,33,49,6327162,666364,822455,5045763,248088,1072373,4,2,25,12,0.2865693320125737,0.3752013017655029,0.168385387709132,0.8889633670648138,0.393375093722152,0.6424787665706324,0.2947447150402823,0.2269080529903594,190931,3868,250457,13693,108,175,91,40,122,5,42
cand_20260906_090349_018,2238877,110522,368911,2389471,192079,282508,36,74,4795696,361906,1000622,7367232,694895,863380,4,2,31,12,0.2770960752649447,0.3945417842627606,0.1268733826626123,0.6371609324592663,0.3321162048254879,0.7759335519044388,0.3550822896501165,0.230687841801899,181401,257451,384551,71143,38,129,66,45,49,5,42
cand_20260906_090349_007,1963422,181566,284770,2605907,288117,431656,38,65,4287205,307969,956493,7235668,310131,767009,5,2,28,19,0.2543888026349049,0.2016566906828815,0.2997486740133529,0.6342312213550911,0.1254457816935496,0.6240147850938554,0.1174325445164342,0.2918418545689152,31846,188089,275415,278457,79,92,93,72,107,5,42
cand_20260906_090349_000,2360093,210472,216328,2822769,403819,361087,34,77,6270800,729194,585951,7197344,575141,1150645,4,2,31,18,0.321829440542953,0.2496450875594456,0.1549650101510134,0.7432517620883199,0.3332029382587536,0.8967399008050816,0.1252346003670646,0.1134333337695533,30304,215774,257423,400501,114,74,117,50,58,5,42
cand_20260906_090349_001,2145344,76870,244942,3399120,394767,413167,19,43,5150093,730598,1013494,6136783,614780,1024719,3,2,28,14,0.3402614776319896,0.2594233123013733,0.2773115124343738,0.8284297689552023,0.2469099225450718,0.7667908284085345,0.173100236216714,0.1403958075377563,170965,269737,259564,245003,75,203,42,71,115,5,42
cand_20260906_090349_016,1952150,127643,410394,2854483,400249,407282,21,83,4526357,575050,759109,6503007,800896,1060176,4,2,32,15,0.3560034013432178,0.3109100397096678,0.283059752057111,0.8249950613805805,0.3025916886002452,0.6876177990943585,0.372865673161405,0.2484635898835953,65924,36376,148761,218130,39,172,117,65,44,5,42
cand_20260906_090349_009,2107926,77951,228393,2389406,291812,306950,37,66,6062414,396831,1033006,6173206,577279,1147041,4,2,34,14,0.1088821867385839,0.1074469395395717,0.1815883902262564,0.7320266098582106,0.3406179360957173,0.7301337081967779,0.2618582305785036,0.2081713273889902,4384,140535,11432,302070,57,67,114,67,122,5,42
cand_20260906_090349_012,2561447,97190,399048,3332449,299587,545741,35,70,5070390,322934,664355,6785590,573310,787335,3,2,36,14,0.3014838426567576,0.1922605217262358,0.2995160074525834,0.8909445350116709,0.1110912181603522,0.6542779956692604,0.2447717525761882,0.1470194233761318,11067,55449,74186,268979,94,141,64,52,39,5,42
